Country Name,Average,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Eritrea,9.101835694,,,,,,9.876460365,,,,,9.619670245,,,,,8.867043671,,,,,8.044168497,
Comoros,9.033299391,,,,,,10.36277285,,,,,9.537281418,,,,,8.529913431,,,,,7.703229868,
Ethiopia,9.028414581,,,,,,10.69071411,,,,,9.402390714,,,,,8.458941101,,,,,7.561612396,
Senegal,8.786119277,,,,,,9.953217923,,,,,9.305974387,,,,,8.509699585,,,,,7.375585214,
Lithuania,8.733847954,13.83261543,11.23737668,10.93055658,8.761017472,8.769111839,10.56588903,10.16231784,8.505687199,10.07511821,10.14457348,11.12356365,8.717575085,8.496695338,9.27012683,7.952607509,7.010685373,6.850914045,6.650761907,6.605870417,5.368273705,5.866450927,5.246866438
Bolivia,8.588659525,,,,,,,,,,,5.238121382,5.192100166,8.155532141,8.625130275,8.392470018,12.83493587,12.26392077,11.92498802,8.961310982,8.918631125,6.256582349,6.300191217
Papua New Guinea,8.539431725,,,,,,8.344965437,,,,,,9.427733486,7.845596252,,,,,,,,,
Estonia,8.430693247,17.07491445,15.07332043,12.68539925,14.09652089,11.37712488,10.2207686,9.843870466,10.26952439,10.70719181,6.673682589,8.33549712,6.744252748,7.14247451,6.419290116,5.240187748,5.254852857,4.892924004,4.754953832,3.934743788,3.109926811,3.193136884,
Cabo Verde,8.340101274,,,,,,,,,3.259827838,4.490403367,9.271609699,7.279609813,5.961705294,6.914462004,7.646444504,7.762986082,10.43169503,10.89538678,10.38249895,12.34715645,8.63180294,11.48582908
Kyrgyz Republic,8.31995479,11.65035436,11.14017191,9.263043642,8.810353513,8.838782044,8.738562137,7.778196466,8.235339143,8.399389578,8.336759013,8.255539487,8.231367753,8.208535335,8.152338125,7.845294537,19.77007331,8.971051289,5.380661224,3.62433073,3.740540848,5.182936341,4.485384601
Philippines,8.309379388,,,,7.986133274,7.536713528,7.353358925,7.345731326,8.055112556,7.751232736,7.491866914,7.45761449,7.060745955,6.676858526,6.413091416,9.854601364,9.492500231,9.103891205,8.758433063,9.294175553,9.746034777,9.480284287,11.01982824
Costa Rica,8.293776496,5.304247607,5.313324497,5.756163961,5.988379336,6.394355846,6.343233108,6.430147333,6.349668882,7.27101572,6.687304964,7.886359212,8.146130913,8.444962077,11.55884581,11.6971755,11.59444523,10.30328614,8.744936209,8.732787538,10.02611625,11.58521519,11.9049816
Albania,7.833125933,6.685551759,7.967623178,49.87221458,18.60971466,16.14202377,4.196068508,7.045844105,6.92523218,5.335896278,4.228879892,5.001333148,3.110337419,3.47232901,3.108651377,2.86906757,4.318956649,4.851948929,5.376640517,4.248062164,4.005786136,2.257682277,2.698926422
Tanzania,7.793001603,,,,,,,,,7.477979531,7.649676402,,,,,,8.434097259,8.721718163,8.336899232,7.30104384,7.470105841,6.952492557,
Djibouti,7.736511644,,,,,,8.939955749,,,,,8.106186611,,,,,7.415197036,,,,,6.48470718,
Argentina,7.494923256,7.812329652,8.504521183,9.141835337,7.21468335,7.301381688,,,,,,,,,,,,,,,7.507878678,6.534191707,5.942564451
Belarus,7.44633325,9.343764998,9.468630233,10.00550548,10.19945145,9.636391446,10.19770357,9.814684774,10.08449769,9.024590623,8.422116913,8.574508268,7.665761919,6.805172015,5.690345692,5.133752165,4.233051774,3.939377937,3.58962935,3.513065121,3.584663586,,
Ukraine,7.341583446,8.62060163,9.642859105,8.40437323,8.413536869,8.609145716,9.04585034,10.02832786,8.95380686,8.492964532,7.385213722,6.461634111,6.345407835,5.704263678,5.339230592,4.87019792,4.341322174,,5.151123171,,6.338642687,,
Moldova,7.335715796,9.10400461,9.28573435,9.324402524,8.457130403,9.119053807,10.30685139,9.819603608,9.601074171,7.646861694,6.648526031,7.119322491,6.321280276,5.25595661,5.740081334,6.005800725,6.53693823,7.455790108,5.6214211,4.150331388,3.194151067,,
Cayman Islands,7.262953705,,,,2.8,,9.595317485,4.617231508,0,6.517771791,10.57104801,6.170046481,1.998760768,3.884777499,7.557722103,14.73866505,16.21417119,,,8.565897449,8.44994254,,
Haiti,7.017535621,,,,,,,,,,,,,5.085336871,5.131360246,6.069297575,6.770259301,9.009316264,10.03964347,,,,
